name,localities,locality_key,municipality_bfs_final,match_type
4 Vallées – Verbier/La Tzoumaz/Nendaz/Veysonnaz/Thyon,Orsières,orsières,Orsières,exact
Adelboden - TschentenAlp,Adelboden,adelboden,Adelboden,exact
Beckenhalde,St. Gallen,st gallen,St. Gallen,exact
Champex-Lac,Orsières,orsières,Orsières,exact
Corvatsch-Furtschellas,Celerina/Schlarigna,celerina schlarigna,Celerina/Schlarigna,exact
Corvatsch-Furtschellas,Pontresina,pontresina,Pontresina,exact
Corvatsch-Furtschellas,Samedan,samedan,Samedan,exact
Corvatsch-Furtschellas,St. Moritz,st moritz,St. Moritz,exact
Corvatsch-Furtschellas,Zernez,zernez,Zernez,exact
Evolène,Evolène,evolène,Evolène,exact
Gais,Gais,gais,Gais,exact
Hapfere,Plaffeien,plaffeien,Plaffeien,exact
Leukerbad (Torrent),Leukerbad,leukerbad,Leukerbad,exact
Leukerbad - Gemmipass,Leukerbad,leukerbad,Leukerbad,exact
Madrisa,Klosters,klosters,Klosters,exact
Nollen,Unterägeri,unterägeri,Unterägeri,exact
Parsenn,Klosters,klosters,Klosters,exact
Pilatus,Kriens,kriens,Kriens,exact
Pizol,Bad Ragaz,bad ragaz,Bad Ragaz,exact
Pontresina,Pontresina,pontresina,Pontresina,exact
Rigi,Weggis,weggis,Weggis,exact
Saas Grund,Saas-Grund,saas grund,Saas-Grund,exact
Sattel-Hochstuckli,Schwyz,schwyz,Schwyz,exact
Schnabelsberg / Einsiedeln,Einsiedeln,einsiedeln,Einsiedeln,exact
Scuol Motta Naluns,Scuol,scuol,Scuol,exact
Zugerberg,Unterägeri,unterägeri,Unterägeri,exact
4 Vallées – Verbier/La Tzoumaz/Nendaz/Veysonnaz/Thyon,Bruson,bruson,Val de Bagnes,manual
4 Vallées – Verbier/La Tzoumaz/Nendaz/Veysonnaz/Thyon,Champsec,champsec,Val de Bagnes,manual
4 Vallées – Verbier/La Tzoumaz/Nendaz/Veysonnaz/Thyon,Clèbes,clèbes,Nendaz,manual
4 Vallées – Verbier/La Tzoumaz/Nendaz/Veysonnaz/Thyon,Haute-Nendaz,haute nendaz,Nendaz,manual
4 Vallées – Verbier/La Tzoumaz/Nendaz/Veysonnaz/Thyon,Le Châble,le châble,Val de Bagnes,manual
4 Vallées – Verbier/La Tzoumaz/Nendaz/Veysonnaz/Thyon,Les Mayens-de-Sion,les mayens de sion,Sion,manual
4 Vallées – Verbier/La Tzoumaz/Nendaz/Veysonnaz/Thyon,Sarreyer,sarreyer,Val de Bagnes,manual
