"Year";"Commune";"Visitors' country of residence - total Arrivals";"Visitors' country of residence - total Overnight stays"
"2020";"Kloten";63473;87892
"2020";"Opfikon";137720;199904
"2020";"Dübendorf";10412;19165
"2020";"Uster";7175;19473
"2020";"Winterthur";43619;97314
"2020";"Zürich";597660;1117197
"2020";"Wädenswil";4911;8126
"2020";"Horgen";7488;11885
"2020";"Langenthal";10606;17301
"2020";"Bern";216597;356038
"2020";"Köniz";3499;6793
"2020";"Biel/Bienne";27487;48771
"2020";"Burgdorf";15150;22325
"2020";"Adelboden";69387;180612
"2020";"Aeschi bei Spiez";7680;15051
"2020";"Kandersteg";49917;92595
"2020";"Reichenbach im Kandertal";12399;27710
"2020";"Beatenberg";34542;84170
"2020";"Brienz (BE)";38833;68815
"2020";"Grindelwald";177628;404389
"2020";"Interlaken";148541;309615
"2020";"Lauterbrunnen";108286;303786
"2020";"Matten bei Interlaken";15277;33979
"2020";"Unterseen";29047;57270
"2020";"Wilderswil";26960;57367
"2020";"Moutier (BE)";1290;2231
"2020";"Diemtigen";3593;8870
"2020";"Spiez";50131;92759
"2020";"Hasliberg";25051;65698
"2020";"Innertkirchen";13232;20628
"2020";"Meiringen";21663;40300
"2020";"Lenk";51555;115300
"2020";"Saanen";127299;332657
"2020";"Langnau im Emmental";5003;7296
"2020";"Schangnau";13379;16805
"2020";"Sigriswil";42300;130755
"2020";"Thun";55294;84863
"2020";"Herzogenbuchsee";1368;5810
"2020";"Emmen";8778;20547
"2020";"Kriens";28554;45658
"2020";"Luzern";276742;484891
"2020";"Meggen";3782;6789
"2020";"Vitznau";27892;58126
"2020";"Weggis";75366;160549
"2020";"Sursee";10177;20765
"2020";"Andermatt";78098;155814
"2020";"Gurtnellen";3771;4059
"2020";"Einsiedeln";18239;32340
"2020";"Feusisberg";17079;26869
"2020";"Freienbach";16191;26643
"2020";"Küssnacht (SZ)";11356;19431
"2020";"Ingenbohl";24341;47621
"2020";"Morschach";72370;188466
"2020";"Schwyz";8154;15758
"2020";"Engelberg";65678;158528
"2020";"Sachseln";17983;37614
"2020";"Sarnen";19355;43299
"2020";"Beckenried";17635;31365
"2020";"Emmetten";10245;17504
"2020";"Glarus Nord";13823;29027
"2020";"Glarus Süd";28580;64460
"2020";"Unterägeri";5890;10418
"2020";"Zug";21220;58793
"2020";"Haut-Intyamon";1679;3273
"2020";"Bulle";15090;27630
"2020";"Gruyères";12222;16958
"2020";"Fribourg";33264;57669
"2020";"Murten";19177;32461
"2020";"Plaffeien";10564;20542
"2020";"Egerkingen";23795;38626
"2020";"Grenchen";6118;12576
"2020";"Olten";22673;48077
"2020";"Solothurn";43813;72374
"2020";"Basel";295079;539890
"2020";"Liestal";9125;16469
"2020";"Pratteln";28822;46442
"2020";"Schaffhausen";38995;65974
"2020";"Hundwil";15707;20698
"2020";"Gais";6493;9989
"2020";"Teufen (AR)";3593;8256
"2020";"Heiden";10983;23907
"2020";"Appenzell";30473;51702
"2020";"Gonten";6281;15879
"2020";"St. Gallen";70648;145369
"2020";"Rorschacherberg";15375;27191
"2020";"Altstätten";3363;5491
"2020";"Buchs (SG)";6043;11364
"2020";"Bad Ragaz";48054;123354
"2020";"Flums";8347;14865
"2020";"Quarten";16299;31772
"2020";"Walenstadt";5682;9150
"2020";"Amden";8938;15363
"2020";"Rapperswil-Jona";8589;14110
"2020";"Eschenbach (SG)";644;1720
"2020";"Wildhaus-Alt St. Johann";27712;74070
"2020";"Neckertal";...;...
"2020";"Uzwil";7348;25167
"2020";"Wil (SG)";9162;16191
"2020";"Vaz/Obervaz";103079;286260
"2020";"Surses";18663;44216
"2020";"Poschiavo";28318;57418
"2020";"Laax";47304;198852
"2020";"Vals";35331;70637
"2020";"Lumnezia";5534;11966
"2020";"Ilanz/Glion";8774;19793
"2020";"Rheinwald";9559;18089
"2020";"Flims";85452;231749
"2020";"Zernez";31161;71004
"2020";"Samnaun";42315;145263
"2020";"Scuol";89020;263927
"2020";"Celerina/Schlarigna";34343;108170
"2020";"Pontresina";83836;304733
"2020";"Samedan";17783;44965
"2020";"St. Moritz";164714;574003
"2020";"Bregaglia";21919;53903
"2020";"Val Müstair";26899;56882
"2020";"Davos";246106;670995
"2020";"Klosters";39332;119049
"2020";"Chur";66868;108082
"2020";"Arosa";114892;369506
"2020";"Maienfeld";13287;22020
"2020";"Breil/Brigels";20462;50592
"2020";"Tujetsch";15933;52192
"2020";"Aarau";9261;15378
"2020";"Baden";22242;46786
"2020";"Lenzburg";9033;20676
"2020";"Rheinfelden";3597;9618
"2020";"Zofingen";4167;8727
"2020";"Arbon";12756;21624
"2020";"Frauenfeld";10621;30640
"2020";"Kreuzlingen";18881;34327
"2020";"Bellinzona";45142;75895
"2020";"Ascona";119210;363939
"2020";"Locarno";110044;267108
"2020";"Muralto";38290;88951
"2020";"Lugano";159849;367102
"2020";"Paradiso";69082;144014
"2020";"Collina d'Oro";8639;25638
"2020";"Monteceneri";1351;3080
"2020";"Chiasso";9421;15411
"2020";"Mendrisio";10605;20325
"2020";"Leysin";43762;129325
"2020";"Ollon";25009;59664
"2020";"Ormont-Dessus";14129;32444
"2020";"Bullet";9819;21781
"2020";"Lausanne";217266;443045
"2020";"Bourg-en-Lavaux";12279;20343
"2020";"Morges";14311;26288
"2020";"Nyon";10420;23652
"2020";"Château-d'Oex";6977;12599
"2020";"Le Chenit";8094;12987
"2020";"Montreux";110409;219574
"2020";"Vevey";25327;50548
"2020";"Blonay - Saint-Légier";...;...
"2020";"Yverdon-les-Bains";29644;50247
"2020";"Brig-Glis";56835;131104
"2020";"Nendaz";12816;28122
"2020";"Orsières";18191;29745
"2020";"Val de Bagnes";...;...
"2020";"Goms";23805;52532
"2020";"Evolène";16068;29489
"2020";"Leukerbad";84227;190841
"2020";"Martigny";31688;50898
"2020";"Champéry";20950;46996
"2020";"Saint-Maurice";7031;12996
"2020";"Sierre";14247;22413
"2020";"Anniviers";40671;114862
"2020";"Crans-Montana";67107;188323
"2020";"Sion";30645;49297
"2020";"Saas-Fee";92127;274409
"2020";"Saas-Grund";14640;50548
"2020";"Visp";14331;31917
"2020";"Zermatt";352863;997094
"2020";"La Grande Béroche";2007;3411
"2020";"La Chaux-de-Fonds";12676;19485
"2020";"Neuchâtel";56287;91324
"2020";"Laténa";...;...
"2020";"Genève";325372;708755
"2020";"Lancy";25670;45125
"2020";"Meyrin";84062;140337
"2020";"Vernier";20214;38479
"2020";"Delémont";14379;26403
"2020";"Saignelégier";13616;21988
"2020";"Porrentruy";6227;11365
"2020";"Clos du Doubs";6242;9271
"2020";"Moutier (JU)";...;...
"2021";"Kloten";86050;135607
"2021";"Opfikon";153498;255084
"2021";"Dübendorf";12962;24825
"2021";"Uster";8732;26826
"2021";"Winterthur";56180;109726
"2021";"Zürich";862466;1650531
"2021";"Wädenswil";7711;13605
"2021";"Horgen";5824;10250
"2021";"Langenthal";16578;25915
"2021";"Bern";306656;511474
"2021";"Köniz";4764;9820
"2021";"Biel/Bienne";40039;70864
"2021";"Burgdorf";21348;32404
"2021";"Adelboden";74755;192155
"2021";"Aeschi bei Spiez";8112;18821
"2021";"Kandersteg";56526;106773
"2021";"Reichenbach im Kandertal";14073;33485
"2021";"Beatenberg";41080;99645
"2021";"Brienz (BE)";49798;85784
"2021";"Grindelwald";222128;481566
"2021";"Interlaken";168510;374682
"2021";"Lauterbrunnen";108823;259940
"2021";"Matten bei Interlaken";15180;42146
"2021";"Unterseen";37800;77836
"2021";"Wilderswil";24810;54418
"2021";"Moutier (BE)";1699;2878
"2021";"Diemtigen";4752;11699
"2021";"Spiez";75288;139036
"2021";"Hasliberg";27991;72339
"2021";"Innertkirchen";14795;23538
"2021";"Meiringen";25627;43471
"2021";"Lenk";57429;124946
"2021";"Saanen";165170;388040
"2021";"Langnau im Emmental";6075;9150
"2021";"Schangnau";13988;18049
"2021";"Sigriswil";57673;166768
"2021";"Thun";63410;106736
"2021";"Herzogenbuchsee";2064;5741
"2021";"Emmen";8990;20578
"2021";"Kriens";36446;61540
"2021";"Luzern";340963;619486
"2021";"Meggen";6105;9749
"2021";"Vitznau";37245;70820
"2021";"Weggis";108767;228893
"2021";"Sursee";14507;27628
"2021";"Andermatt";92527;185142
"2021";"Gurtnellen";4994;5502
"2021";"Einsiedeln";22601;42900
"2021";"Feusisberg";28777;46246
"2021";"Freienbach";23557;38413
"2021";"Küssnacht (SZ)";15241;27360
"2021";"Ingenbohl";34778;66408
"2021";"Morschach";105791;269702
"2021";"Schwyz";6624;12666
"2021";"Engelberg";76899;162531
"2021";"Sachseln";24630;48370
"2021";"Sarnen";24596;54921
"2021";"Beckenried";22058;37023
"2021";"Emmetten";16402;27375
"2021";"Glarus Nord";16912;34621
"2021";"Glarus Süd";28687;69721
"2021";"Unterägeri";8484;15267
"2021";"Zug";25474;77524
"2021";"Haut-Intyamon";1295;2082
"2021";"Bulle";23899;37771
"2021";"Gruyères";15255;22184
"2021";"Fribourg";41072;64161
"2021";"Murten";25339;45409
"2021";"Plaffeien";17193;33430
"2021";"Egerkingen";23873;34903
"2021";"Grenchen";8034;15320
"2021";"Olten";26815;57850
"2021";"Solothurn";56904;89009
"2021";"Basel";437169;776773
"2021";"Liestal";11588;22353
"2021";"Pratteln";33034;53275
"2021";"Schaffhausen";56038;88194
"2021";"Hundwil";21497;28868
"2021";"Gais";7698;11010
"2021";"Teufen (AR)";4282;8807
"2021";"Heiden";16899;35218
"2021";"Appenzell";30746;53549
"2021";"Gonten";8276;19084
"2021";"St. Gallen";95505;187058
"2021";"Rorschacherberg";19668;33157
"2021";"Altstätten";4037;6160
"2021";"Buchs (SG)";9771;31894
"2021";"Bad Ragaz";62461;154289
"2021";"Flums";9284;16678
"2021";"Quarten";23512;45089
"2021";"Walenstadt";5943;11151
"2021";"Amden";9209;16826
"2021";"Rapperswil-Jona";9885;16655
"2021";"Eschenbach (SG)";799;2365
"2021";"Wildhaus-Alt St. Johann";35276;81555
"2021";"Neckertal";...;...
"2021";"Uzwil";8264;28283
"2021";"Wil (SG)";14012;28078
"2021";"Vaz/Obervaz";112959;300977
"2021";"Surses";23051;51783
"2021";"Poschiavo";35353;75672
"2021";"Laax";76291;297584
"2021";"Vals";42698;86132
"2021";"Lumnezia";6209;14419
"2021";"Ilanz/Glion";11250;19740
"2021";"Rheinwald";11458;21501
"2021";"Flims";90787;243033
"2021";"Zernez";32415;75172
"2021";"Samnaun";51011;166225
"2021";"Scuol";94779;271306
"2021";"Celerina/Schlarigna";33578;109548
"2021";"Pontresina";96950;332983
"2021";"Samedan";18679;43396
"2021";"St. Moritz";180399;586198
"2021";"Bregaglia";24920;61249
"2021";"Val Müstair";33969;65298
"2021";"Davos";269912;706743
"2021";"Klosters";47385;129878
"2021";"Chur";78289;130793
"2021";"Arosa";116443;359914
"2021";"Maienfeld";13792;23868
"2021";"Breil/Brigels";19762;54247
"2021";"Tujetsch";15454;41393
"2021";"Aarau";12208;18197
"2021";"Baden";30882;62741
"2021";"Lenzburg";11876;22466
"2021";"Rheinfelden";6221;15343
"2021";"Zofingen";5633;13073
"2021";"Arbon";16342;29044
"2021";"Frauenfeld";11501;33373
"2021";"Kreuzlingen";18303;35281
"2021";"Bellinzona";66634;110081
"2021";"Ascona";178998;549045
"2021";"Locarno";156908;378627
"2021";"Muralto";60592;139685
