"Year";"Month";"Commune";"Establishments";"Rooms";"Beds";"Arrivals";"Overnight stays";"Room nights";"Room occupancy";"Bed occupancy"
"2020";"Total of the year";"Kloten";3.33;550.92;874.79;63473.00;87892.00;63301.00;32.14;28.18
"2020";"Total of the year";"Opfikon";7.83;1687.15;2672.75;137720.00;199904.00;149431.00;24.61;20.86
"2020";"Total of the year";"D?bendorf";5.83;158.17;227.33;10412.00;19165.00;15055.00;28.78;25.43
"2020";"Total of the year";"Uster";5.83;180.41;315.41;7175.00;19473.00;15050.00;24.09;17.84
"2020";"Total of the year";"Winterthur";15.25;630.19;1202.59;43619.00;97314.00;73058.00;33.43;23.43
"2020";"Total of the year";"Z?rich";108.42;7731.23;14340.93;597660.00;1117197.00;767672.00;27.96;21.93
"2020";"Total of the year";"W?denswil";3.58;57.95;98.49;4911.00;8126.00;5838.00;29.19;23.89
"2020";"Total of the year";"Horgen";4.75;174.61;257.60;7488.00;11885.00;8848.00;14.08;12.79
"2020";"Total of the year";"Langenthal";5.92;199.44;378.62;10606.00;17301.00;13338.00;19.13;13.04
"2020";"Total of the year";"Bern";33.58;2142.82;3900.82;216597.00;356038.00;245563.00;32.29;25.60
"2020";"Total of the year";"K?niz";5.08;66.84;152.02;3499.00;6793.00;4541.00;20.17;13.04
"2020";"Total of the year";"Biel/Bienne";6.58;314.06;478.55;27487.00;48771.00;38467.00;35.22;29.39
"2020";"Total of the year";"Burgdorf";4.33;93.47;202.83;15150.00;22325.00;12906.00;40.14;31.66
"2020";"Total of the year";"Adelboden";16.42;591.58;1195.28;69387.00;180612.00;98614.00;49.89;45.10
"2020";"Total of the year";"Aeschi bei Spiez";5.25;94.52;188.86;7680.00;15051.00;8608.00;25.90;22.61
"2020";"Total of the year";"Kandersteg";15.50;344.95;672.12;49917.00;92595.00;54573.00;44.41;38.66
"2020";"Total of the year";"Reichenbach im Kandertal";6.83;136.96;352.14;12399.00;27710.00;15801.00;32.54;22.25
"2020";"Total of the year";"Beatenberg";9.58;275.14;687.60;34542.00;84170.00;43115.00;44.01;34.23
"2020";"Total of the year";"Brienz (BE)";11.42;260.30;551.39;38833.00;68815.00;37065.00;41.10;36.04
"2020";"Total of the year";"Grindelwald";40.42;1278.05;2798.61;177628.00;404389.00;211233.00;49.84;43.42
"2020";"Total of the year";"Interlaken";26.08;1401.98;2861.98;148541.00;309615.00;180311.00;36.85;30.94
"2020";"Total of the year";"Lauterbrunnen";36.92;1240.61;2489.13;108286.00;303786.00;172858.00;42.44;37.08
"2020";"Total of the year";"Matten bei Interlaken";5.08;174.92;344.96;15277.00;33979.00;19440.00;33.14;30.19
"2020";"Total of the year";"Unterseen";9.92;307.02;646.05;29047.00;57270.00;32510.00;30.68;25.66
"2020";"Total of the year";"Wilderswil";9.75;300.52;624.99;26960.00;57367.00;34137.00;32.75;26.48
"2020";"Total of the year";"Moutier (BE)";3.83;42.44;74.72;1290.00;2231.00;1728.00;12.08;8.98
"2020";"Total of the year";"Diemtigen";6.50;83.86;207.20;3593.00;8870.00;4217.00;17.86;15.17
"2020";"Total of the year";"Spiez";11.92;367.01;640.90;50131.00;92759.00;59044.00;44.60;40.10
"2020";"Total of the year";"Hasliberg";9.50;303.86;616.29;25051.00;65698.00;36421.00;36.22;32.05
"2020";"Total of the year";"Innertkirchen";7.33;130.83;296.64;13232.00;20628.00;12071.00;27.95;20.91
"2020";"Total of the year";"Meiringen";9.42;218.08;531.64;21663.00;40300.00;23303.00;31.28;22.24
"2020";"Total of the year";"Lenk";13.75;401.30;758.34;51555.00;115300.00;67370.00;50.63;45.48
"2020";"Total of the year";"Saanen";27.17;964.64;2034.49;127299.00;332657.00;187519.00;58.06;49.09
"2020";"Total of the year";"Langnau im Emmental";4.25;48.24;93.90;5003.00;7296.00;4940.00;29.07;22.06
"2020";"Total of the year";"Schangnau";3.75;55.18;107.77;13379.00;16805.00;9214.00;50.96;47.55
