name,countries,regions,localities,status,has_downhill,has_nordic,downhill_distance_km,nordic_distance_km,vertical_m,min_elevation_m,max_elevation_m,lift_count,surface_lifts_count,run_convention,wikidata_id,websites,openskimap,id,geometry,lat,lng,sources
Moose Mountain,Canada,Yukon,Dawson,operating,yes,no,2,,90,437,528,1,1,north_america,,https://dawsoncity.ca/venue/moose-mountain/,https://openskimap.org/?obj=00047ed7e806bf46cc3f8d470f622b4da1721c14,00047ed7e806bf46cc3f8d470f622b4da1721c14,Point,64.051057,-139.409375,https://www.skimap.org/SkiAreas/view/1075
,Austria,Lower Austria,,operating,no,yes,,11,130,366,497,,,europe,,,https://openskimap.org/?obj=001825c1-8129-4c60-9a9d-f75dd8e8876f,001825c1-8129-4c60-9a9d-f75dd8e8876f,Point,48.205597,16.084154,
Lee Canyon,United States,Nevada,,operating,yes,no,10,,231,2624,2855,6,2,north_america,,https://www.leecanyonlv.com/,https://openskimap.org/?obj=0018b9a7e706f9b7df256c27e759ac2c9c16d7ec,0018b9a7e706f9b7df256c27e759ac2c9c16d7ec,Polygon,36.301403,-115.679148,https://www.openstreetmap.org/way/1257430570 https://www.skimap.org/SkiAreas/view/360
金象山滑雪场,China,Shandong,,operating,yes,no,0,,48,348,396,2,2,north_america,,,https://openskimap.org/?obj=001bb588b1480253a9507d2f00812e9d5e93a15b,001bb588b1480253a9507d2f00812e9d5e93a15b,Polygon,36.473344,117.109281,https://www.openstreetmap.org/way/546824548 https://www.skimap.org/SkiAreas/view/13995
七步沟滑雪场,China,Hebei,,operating,yes,no,1,,79,832,911,,,north_america,,,https://openskimap.org/?obj=001bb9ea6636639b0ca02067077905030e5c81bd,001bb9ea6636639b0ca02067077905030e5c81bd,Polygon,36.933776,113.870276,https://www.openstreetmap.org/way/1358327582
,Russia,Leningrad,,operating,no,yes,,6,35,80,114,,,europe,,,https://openskimap.org/?obj=001ce4df-191a-485a-a643-35573435399b,001ce4df-191a-485a-a643-35573435399b,Point,60.339549,30.505038,
Ciao Ontake (チャオ御岳スノーリゾート),Japan,Gifu Prefecture,,abandoned,yes,no,,,,,,,,japan,,,https://openskimap.org/?obj=001fb86e11cb24037e646ad0b5c1a698cef89778,001fb86e11cb24037e646ad0b5c1a698cef89778,Point,35.939400,137.481953,https://www.skimap.org/SkiAreas/view/1687
,Finland,Satakunta,Harjavalta,operating,no,yes,,13,27,34,61,,,europe,,,https://openskimap.org/?obj=00281543-7480-497b-8795-5364da08cf65,00281543-7480-497b-8795-5364da08cf65,Point,61.290404,22.131082,
Hanley's Happy Hill,United States,Pennsylvania,Eagles Mere,abandoned,yes,no,,,,,,,,north_america,,,https://openskimap.org/?obj=002ec0e2067a5682fcade115772dff2e46dc9754,002ec0e2067a5682fcade115772dff2e46dc9754,Point,41.405149,-76.579138,https://www.skimap.org/SkiAreas/view/5605
,United States,Vermont,Lowell,operating,no,yes,,1,60,249,309,,,north_america,,,https://openskimap.org/?obj=00334e2a-e215-47d6-b3db-1e2666313edd,00334e2a-e215-47d6-b3db-1e2666313edd,Point,44.813065,-72.449894,
